"","STCODE","ENTITY","SITECODE","WATERYEAR","YEAR","MONTH","TYPE","MEAN_LPS","Q_AREA_MO","QCODE_MO","PH_MO","PHCODE_MO","COND_MO","CONDCODE_MO","ALK_MO","ALKCODE_MO","SSED_MO","SSEDCODE_MO","SI_MO","SICODE_MO","UTP_MO","UTPCODE_MO","TDP_MO","TDPCODE_MO","PO4P_MO","PO4PCODE_MO","PARTP_MO","PARTPCODE_MO","UTN_MO","UTNCODE_MO","TDN_MO","TDNCODE_MO","DON_MO","DONCODE_MO","PARTN_MO","PARTNCODE_MO","UTKN_MO","UTKNCODE_MO","TKN_MO","TKNCODE_MO","NH3N_MO","NH3NCODE_MO","NO3N_MO","NO3NCODE_MO","NA_MO","NACODE_MO","K_MO","KCODE_MO","CA_MO","CACODE_MO","MG_MO","MGCODE_MO","SO4S_MO","SO4SCODE_MO","CL_MO","CLCODE_MO","DOC_MO","DOCCODE_MO"
"1","CF002",2,"GSLOOK",2005,2005,5,"P",3612.19,15.5,"I",7.4,"I",32.71,"I",16.63,"I",2.06,"I",7.95,"I",0.026,"I",0.023,"I",0.012,"I",0.003,"ID",0.05,"I",0.04,"I",0.03,"ID*",0.01,"ID",NA,"N",NA,"N",0.01,"I",0,"I*",2.03,"I",0.4,"I",2.96,"I",0.64,"I",0.08,"I",0.6,"I",1.62,"I"
"2","CF002",2,"GSLOOK",2005,2005,6,"F",2131.19,8.85,"A",7.42,"A",34.21,"A",17.75,"A",2.33,"A",8.28,"A",0.031,"A",0.029,"A",0.012,"A",0.003,"D",0.08,"A",0.04,"A",0.04,"D*",0.03,"D",NA,"N",NA,"N",0.007,"A",0,"*",2.15,"A",0.45,"A",3.33,"A",0.87,"A",0.07,"A",0.55,"A",1.35,"A"
"3","CF002",2,"GSLOOK",2005,2005,7,"F",745.74,3.2,"A",7.5,"A",39.13,"A",19.96,"A",1.54,"A",8.64,"I",0.033,"A",0.032,"A",0.011,"A",0.002,"D",0.11,"A",0.05,"A",0.04,"D*",0.06,"D",NA,"N",NA,"N",0.005,"A",0.001,"*",2.54,"A",0.54,"A",3.91,"A",1.43,"A",0.07,"A",0.62,"A",1.27,"A"
"4","CF002",2,"GSLOOK",2005,2005,8,"F",398.51,1.71,"A",7.59,"A",42.77,"A",21.41,"A",2.21,"A",9.13,"A",0.03,"A",0.027,"A",0.011,"A",0.003,"D",0.06,"A",0.06,"A",0.05,"D*",0,"D",NA,"N",NA,"N",0.011,"A",0.001,"*",2.71,"A",0.63,"A",3.86,"A",1.16,"A",0.07,"A",0.81,"A",1.32,"A"
"5","CF002",2,"GSLOOK",2005,2005,9,"F",341.95,1.42,"A",7.54,"A",42.44,"A",21.07,"A",2.04,"A",8.81,"A",0.026,"A",0.025,"A",0.012,"A",0,"D",0.06,"A",0.04,"A",0.04,"D*",0.02,"D",NA,"N",NA,"N",0.007,"A",0,"*",2.67,"A",0.56,"A",4.03,"A",1.16,"A",0.08,"A",0.89,"A",1.01,"A"
"6","CF002",2,"GSLOOK",2006,2005,10,"F",433.46,1.86,"A",7.57,"A",39.59,"A",18.09,"A",2.62,"A",8.52,"A",0.027,"A",0.021,"A",0.012,"A",0.006,"D",0.08,"A",0.06,"A",0.04,"D*",0.02,"D",NA,"N",NA,"N",0.011,"A",0.008,"*",2.6,"A",0.52,"A",3.88,"A",1.12,"A",0.09,"A",1.98,"A",1.14,"A"
"7","CF002",2,"GSLOOK",2006,2005,11,"F",4101.04,17.03,"A",7.64,"A",30.72,"A",15.01,"A",3.9,"A",7.81,"A",0.022,"A",0.016,"A",0.011,"A",0.006,"D",0.11,"A",0.07,"A",0.02,"D",0.04,"D",NA,"N",NA,"N",0.021,"A",0.024,"A",2.19,"A",0.42,"A",3.31,"A",0.89,"A",0.08,"A",1.49,"A",1.34,"A"
"8","CF002",2,"GSLOOK",2006,2005,12,"P",9233.23,39.62,"A",7.31,"A",27.68,"A",13.77,"A",122.49,"A",7,"A",0.079,"Q",0.02,"A",0.013,"A",0.059,"DQ",0.16,"A",0.07,"A",0.04,"D",0.09,"D",NA,"N",NA,"N",0.019,"A",0.018,"A",1.84,"A",0.36,"A",2.58,"A",0.67,"A",0.08,"A",0.69,"A",1.28,"A"
"9","CF002",2,"GSLOOK",2006,2006,1,"F",12605.39,54.09,"A",7.3,"A",26.62,"A",13.32,"A",164.62,"A",6.91,"A",0.099,"Q",0.021,"A",0.015,"A",0.078,"DQ",0.17,"A",0.05,"A",0.03,"D",0.12,"D",NA,"N",NA,"N",0.009,"A",0.011,"A",1.73,"A",0.36,"A",2.47,"A",0.63,"A",0.08,"A",0.61,"A",1.25,"A"
"10","CF002",2,"GSLOOK",2006,2006,2,"P",5580.84,21.63,"A",7.3,"A",29.28,"A",14.95,"A",8.8,"A",7.65,"A",0.029,"A",0.021,"A",0.013,"A",0.009,"D",0.04,"A",0.03,"A",0.02,"D*",0.01,"D",NA,"N",NA,"N",0.004,"A",0.003,"*",1.86,"A",0.36,"A",2.61,"A",0.73,"A",0.08,"A",0.62,"A",0.85,"A"
